prompt_id,split,template_id,structure,unordered_name_pair_id,pair_orientation,io_name,s_name,prompt,answer,counterfactual_answer,answer_token_id,counterfactual_token_id
phase6_prompt_000c06badce789c0,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_7edf97b8b6e20823,not_applicable,Julie,Nora,"In the kitchen, Julie worked with Nora. After dinner, Nora passed the recipe card to",Julie,Nora,21946,32561
phase6_prompt_047be49f91add342,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_e8e7a56fa2f8011b,not_applicable,Julie,Kathleen,"In the kitchen, Julie worked with Kathleen. After dinner, Kathleen passed the recipe card to",Julie,Kathleen,21946,31275
phase6_prompt_081d03092eebc58f,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_02a81f0210e3f662,not_applicable,Shirley,Charles,"In the kitchen, Shirley worked with Charles. After dinner, Charles passed the recipe card to",Shirley,Charles,40902,7516
phase6_prompt_11e7599a136a9cfa,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_b2f85da6656e2ebe,not_applicable,Charles,Shirley,"In the kitchen, Charles worked with Shirley. After dinner, Shirley passed the recipe card to",Charles,Shirley,7516,40902
phase6_prompt_19071d99a62ad4ef,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_0898372a6eee3026,not_applicable,Nora,Sylvia,"In the kitchen, Nora worked with Sylvia. After dinner, Sylvia passed the recipe card to",Nora,Sylvia,32561,45425
phase6_prompt_1a140f89f6128df9,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_5a04b8d0d29e90ad,not_applicable,Ruby,Emma,"In the kitchen, Ruby worked with Emma. After dinner, Emma passed the recipe card to",Ruby,Emma,10888,18966
phase6_prompt_1c911d95d683cb96,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_e1e1989c660ba37e,not_applicable,Nora,Emma,"In the kitchen, Nora worked with Emma. After dinner, Emma passed the recipe card to",Nora,Emma,32561,18966
phase6_prompt_1cc940faa7071051,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_70babdf6d0e91d0f,not_applicable,Stephanie,Nora,"In the kitchen, Stephanie worked with Nora. After dinner, Nora passed the recipe card to",Stephanie,Nora,26085,32561
phase6_prompt_1da9b2fd4ff44d7b,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_5f9f76c639037920,not_applicable,Emma,Joyce,"In the kitchen, Emma worked with Joyce. After dinner, Joyce passed the recipe card to",Emma,Joyce,18966,25936
phase6_prompt_20bbbd643a1c08b3,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_7368d74cd3944cfb,not_applicable,Kenneth,Kathleen,"In the kitchen, Kenneth worked with Kathleen. After dinner, Kathleen passed the recipe card to",Kenneth,Kathleen,23632,31275
phase6_prompt_21f130a2abead731,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_e1119975f80f85c1,not_applicable,Julie,Sylvia,"In the kitchen, Julie worked with Sylvia. After dinner, Sylvia passed the recipe card to",Julie,Sylvia,21946,45425
phase6_prompt_23dd25ccba2f8ae2,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_996e614a88919012,not_applicable,Ruby,Kenneth,"In the kitchen, Ruby worked with Kenneth. After dinner, Kenneth passed the recipe card to",Ruby,Kenneth,10888,23632
phase6_prompt_27f9905b07ecca04,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_1d6adcebf3339e51,not_applicable,Diane,Kenneth,"In the kitchen, Diane worked with Kenneth. After dinner, Kenneth passed the recipe card to",Diane,Kenneth,26542,23632
phase6_prompt_2b5a2241075a5201,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_3c459c1476d9803c,not_applicable,Emma,Nora,"In the kitchen, Emma worked with Nora. After dinner, Nora passed the recipe card to",Emma,Nora,18966,32561
phase6_prompt_2e9f2f5594be26de,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_ea4240ad52a4d67e,not_applicable,Shirley,Joyce,"In the kitchen, Shirley worked with Joyce. After dinner, Joyce passed the recipe card to",Shirley,Joyce,40902,25936
phase6_prompt_35ab2812c33204c3,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_90464d9a22d671b2,not_applicable,Joyce,Kathleen,"In the kitchen, Joyce worked with Kathleen. After dinner, Kathleen passed the recipe card to",Joyce,Kathleen,25936,31275
phase6_prompt_42d8148a7b1b410b,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_d2d17f5091175e3a,not_applicable,Stephanie,Dawn,"In the kitchen, Stephanie worked with Dawn. After dinner, Dawn passed the recipe card to",Stephanie,Dawn,26085,12258
phase6_prompt_4a12045f1c67e1d0,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_bc1b1061085fd319,not_applicable,Sylvia,Catherine,"In the kitchen, Sylvia worked with Catherine. After dinner, Catherine passed the recipe card to",Sylvia,Catherine,45425,22578
phase6_prompt_4e8acbe2f35e8ef3,reference,p6_abba_kitchen,ABBA,phase6_reference_pair_f290ace24f95ce6d,not_applicable,Stephanie,Ruby,"In the kitchen, Stephanie worked with Ruby. After dinner, Ruby passed the recipe card to",Stephanie,Ruby,26085,10888
